full_name,description,stars,forks,language,collected_at
donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,341896,55251,Python,2026-04-08T12:36:47.665799
vinta/awesome-python,"An opinionated list of Python frameworks, libraries, tools, and resources",291366,27611,Python,2026-04-08T12:36:47.665799
practical-tutorials/project-based-learning,Curated list of project-based tutorials,262598,34143,,2026-04-08T12:36:47.665799
TheAlgorithms/Python,All Algorithms implemented in Python,219404,50316,Python,2026-04-08T12:36:47.665799
tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,194579,75254,C++,2026-04-08T12:36:47.665799
ohmyzsh/ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",186043,26335,Shell,2026-04-08T12:36:47.665799
CyC2018/CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,184098,51080,,2026-04-08T12:36:47.665799
Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",183248,46219,Python,2026-04-08T12:36:47.665799
jackfrued/Python-100-Days,Python - 100天从新手到大师,181010,55605,Jupyter Notebook,2026-04-08T12:36:47.665799
huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",159035,32798,Python,2026-04-08T12:36:47.665799
yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader,155488,12744,Python,2026-04-08T12:36:47.665799
521xueweihan/HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",149574,11354,Python,2026-04-08T12:36:47.665799
langgenius/dify,Production-ready platform for agentic workflow development.,136757,21371,TypeScript,2026-04-08T12:36:47.665799
langchain-ai/langchain,The agent engineering platform,132809,21915,Python,2026-04-08T12:36:47.665799
krahets/hello-algo,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持简中、繁中、English、日本語，提供 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 等代码实现",124936,15027,Java,2026-04-08T12:36:47.665799
justjavac/free-programming-books-zh_CN,:books: 免费的计算机编程类中文书籍，欢迎投稿,116556,28295,,2026-04-08T12:36:47.665799
Comfy-Org/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",108128,12507,Python,2026-04-08T12:36:47.665799
Shubhamsaboo/awesome-llm-apps,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",104813,15291,Python,2026-04-08T12:36:47.665799
pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,98928,27436,Python,2026-04-08T12:36:47.665799
fastapi/fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",96973,9031,Python,2026-04-08T12:36:47.665799
nvbn/thefuck,Magnificent app which corrects your previous console command.,96261,3891,Python,2026-04-08T12:36:47.665799
microsoft/markitdown,Python tool for converting files and office documents to Markdown.,93681,5669,Python,2026-04-08T12:36:47.665799
rasbt/LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step",90305,13822,Jupyter Notebook,2026-04-08T12:36:47.665799
django/django,The Web framework for perfectionists with deadlines.,87210,33811,Python,2026-04-08T12:36:47.665799
browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,86516,10001,Python,2026-04-08T12:36:47.665799
home-assistant/core,:house_with_garden: Open source home automation that puts local control and privacy first.,86039,37185,Python,2026-04-08T12:36:47.665799
